Timestamp	My main tasks are related to communication.	Gender	Age	My professional role	I have prior experience using AI-driven software.	I regularly use generative AI in my professional role.	With the help of generative AI, I can perform my tasks more time-efficiently.	Generative AI delivers credible information.	Working with generative AI tools is difficult.	My workplace expects me to adapt to new technology.	I understand why I need to learn new technology in my professional role.	I feel threatened by generative AI in my professional role.	I am curious to learn more about generative AI.	ag_lt31	ag_lt41	rg_03	rg_03_cat
2023-04-18 10.39.36	Ja	Man	21-30	Annat	4	1.0	3.0	3.0	1.0	3.0	5.0	2.0	5.0	1	1	0	other
2023-04-18 12.29.53	Ja	Kvinna	21-30	Annat	Ja	3.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	1	1	0	other
2023-04-18 12.43.11	Ja	Kvinna	21-30	Content creator	Nej	4.0	4.0	3.0	2.0	2.0	4.0	3.0	3.0	1	1	2	creative
2023-04-18 13.04.56	Ja	Man	21-30	Kommunikatör	Ja	4.0	5.0	2.0	1.0	3.0	4.0	3.0	5.0	1	1	1	communicator
2023-04-18 13.43.51	Ja	Kvinna	21-30	Annat	Ja	5.0	5.0	3.0	1.0	5.0	5.0	1.0	5.0	1	1	0	other
2023-04-18 17.44.28	Ja	Kvinna	21-30	Annat	Nej	1.0	1.0	3.0	3.0	3.0	5.0	4.0	2.0	1	1	0	other
2023-04-19 08.02.58	Ja	Kvinna	21-30	Content creator	Ja	4.0	5.0	3.0	2.0	2.0	5.0	4.0	5.0	1	1	2	creative
2023-04-19 11.06.54	Ja	Man	21-30	Kommunikatör	Ja	4.0	5.0	4.0	1.0	1.0	5.0	1.0	4.0	1	1	1	communicator
2023-04-19 12.19.29	Ja	Kvinna	21-30	Annat	Ja	3.0	4.0	2.0	2.0	5.0	5.0	2.0	5.0	1	1	0	other
2023-04-19 18.39.16	Ja	Kvinna	31-40	Annat	Ja	3.0	4.0	2.0	3.0	5.0	5.0	2.0	5.0	2	1	0	other
2023-04-19 20.26.00	Nej	Kvinna	21-30	Annat	Ja	3.0	4.0	3.0	2.0	4.0	5.0	2.0	5.0	1	1	0	other
2023-04-19 23.23.59	Ja	Kvinna	21-30	Content creator	Nej	2.0	3.0	2.0	2.0	2.0	5.0	4.0	5.0	1	1	2	creative
2023-04-20 17.15.22	Ja	Kvinna	51-60	Content creator	Nej	2.0	3.0	1.0	3.0	5.0	5.0	5.0	5.0	2	2	2	creative
2023-04-20 18.29.18	Ja	Kvinna	31-40	Copywriter	Nej	4.0	4.0	1.0	1.0	3.0	5.0	5.0	5.0	2	1	2	creative
2023-04-20 18.41.06	Ja	Kvinna	41-50	Kommunikatör	Ja	1.0	3.0	4.0	1.0	4.0	5.0	1.0	5.0	2	2	1	communicator
2023-04-20 18.52.29	Ja	Kvinna	21-30	Content creator	Ja	3.0	5.0	4.0	2.0	4.0	5.0	1.0	5.0	1	1	2	creative
2023-04-20 19.16.23	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	2.0	4.0	2.0	3.0	2.0	3.0	1.0	5.0	2	1	3	strategic
2023-04-20 20.10.52	Ja	Kvinna	41-50	Content creator	Ja	2.0	2.0	2.0	4.0	5.0	5.0	2.0	5.0	2	2	2	creative
2023-04-20 20.21.41	Ja	Kvinna	41-50	Kommunikatör	Ja	4.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0	2	2	1	communicator
2023-04-20 20.57.34	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	3.0	4.0	4.0	1.0	5.0	5.0	3.0	5.0	2	1	3	strategic
2023-04-20 21.20.29	Ja	Kvinna	31-40	Kommunikatör	Ja	4.0	3.0	4.0	1.0	3.0	5.0	1.0	5.0	2	1	1	communicator
2023-04-20 21.24.29	Ja	Kvinna	21-30	Kommunikatör	Ja	2.0	2.0	2.0	3.0	5.0	5.0	3.0	4.0	1	1	1	communicator
2023-04-20 21.43.40	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	4.0	5.0	3.0	1.0	4.0	5.0	2.0	5.0	2	2	3	strategic
2023-04-20 23.31.19	Ja	Kvinna	21-30	Content creator	Ja	5.0	5.0	4.0	1.0	5.0	5.0	4.0	5.0	1	1	2	creative
2023-04-21 06.27.47	Ja	Kvinna	21-30	Kommunikatör	Nej	3.0	4.0	4.0	2.0	2.0	5.0	2.0	4.0	1	1	1	communicator
2023-04-21 08.31.04	Ja	Kvinna	31-40	Kommunikatör	Ja	2.0	4.0	2.0	1.0	2.0	5.0	3.0	5.0	2	1	1	communicator
2023-04-21 10.05.43	Ja	Kvinna	21-30	Kommunikatör	Ja	2.0	5.0	3.0	2.0	4.0	5.0	2.0	5.0	1	1	1	communicator
2023-04-21 10.18.31	Ja	Kvinna	31-40	Chef inom kommunikation eller marknad	Nej	4.0	4.0	3.0	2.0	3.0	5.0	1.0	5.0	2	1	3	strategic
2023-04-21 11.19.11	Ja	Kvinna	21-30	Kommunikatör	Nej	5.0	5.0	4.0	1.0	1.0	5.0	5.0	5.0	1	1	1	communicator
2023-04-21 11.46.13	Ja	Kvinna	31-40	Kommunikatör	Nej	5.0	5.0	3.0	1.0	3.0	5.0	1.0	5.0	2	1	1	communicator
2023-04-21 13.09.44	Ja	Kvinna	61-70	Annat	Ja	4.0	5.0	4.0	1.0	4.0	5.0	1.0	5.0	2	2	0	other
2023-04-21 14.43.48	Ja	Kvinna	31-40	Kommunikatör	Ja	2.0	4.0	3.0	3.0	4.0	5.0	5.0	4.0	2	1	1	communicator
2023-04-21 15.32.42	Ja	Kvinna	51-60	Kommunikatör	Ja	3.0	4.0	2.0	1.0	2.0	5.0	1.0	5.0	2	2	1	communicator
2023-04-21 17.27.19	Ja	Kvinna	21-30	Content creator	Ja	2.0	2.0	4.0	2.0	2.0	4.0	4.0	4.0	1	1	2	creative
2023-04-21 17.35.30	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	2.0	5.0	2.0	1.0	5.0	5.0	1.0	5.0	2	2	3	strategic
2023-04-21 18.45.24	Ja	Kvinna	31-40	Marknadskoordinator	Nej	1.0	3.0	2.0	1.0	1.0	5.0	1.0	3.0	2	1	3	strategic
2023-04-21 20.18.16	Ja	Man	21-30	Kommunikatör	Ja	5.0	5.0	3.0	2.0	5.0	5.0	2.0	5.0	1	1	1	communicator
2023-04-21 23.31.33	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	5.0	4.0	3.0	1.0	5.0	5.0	1.0	5.0	2	2	3	strategic
2023-04-22 07.59.51	Ja	Kvinna	51-60	Kommunikatör	Nej	1.0	3.0	3.0	3.0	5.0	5.0	1.0	4.0	2	2	1	communicator
2023-04-22 10.00.44	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Nej	1.0	3.0	1.0	1.0	3.0	3.0	1.0	5.0	2	2	3	strategic
2023-04-22 11.34.30	Ja	Man	51-60	Copywriter	Ja	3.0	5.0	3.0	2.0	3.0	5.0	2.0	5.0	2	2	2	creative
2023-04-23 15.13.59	Ja	Kvinna	41-50	Chef inom kommunikation eller marknad	Ja	3.0	3.0	3.0	2.0	3.0	5.0	1.0	5.0	2	2	3	strategic
2023-04-23 15.21.07	Ja	Kvinna	21-30	Kommunikatör	Ja	4.0	5.0	4.0	1.0	4.0	4.0	1.0	4.0	1	1	1	communicator
2023-04-23 16.14.02	Ja	Kvinna	31-40	Kommunikatör	Ja	1.0	3.0	2.0	2.0	4.0	3.0	4.0	4.0	2	1	1	communicator
2023-04-23 22.32.36	Ja	Kvinna	31-40	Annat	Ja	3.0	5.0	3.0	3.0	5.0	5.0	2.0	4.0	2	1	0	other
2023-04-23 23.44.31	Ja	Man	21-30	Annat	Ja	3.0	4.0	3.0	3.0	4.0	4.0	2.0	3.0	1	1	0	other
2023-04-24 07.03.22	Ja	Kvinna	21-30	Content creator	Nej	1.0	5.0	2.0	2.0	2.0	5.0	4.0	5.0	1	1	2	creative
2023-04-24 08.24.46	Ja	Kvinna	21-30	Annat	Ja	2.0	2.0	2.0	1.0	4.0	5.0	1.0	5.0	1	1	0	other
2023-04-24 13.08.26	Ja	Man	41-50	Kommunikatör	Ja	1.0	2.0	2.0	1.0	4.0	4.0	2.0	4.0	2	2	1	communicator
2023-04-24 13.22.30	Ja	Kvinna	31-40	Kommunikatör	Nej	3.0	4.0	3.0	2.0	5.0	4.0	4.0	5.0	2	1	1	communicator
2023-04-24 15.45.34	Ja	Kvinna	31-40	Kommunikatör	Ja	5.0	5.0	3.0	2.0	5.0	5.0	1.0	5.0	2	1	1	communicator
2023-04-24 18.29.07	Ja	Kvinna	51-60	Annat	Ja	3.0	5.0	4.0	2.0	5.0	5.0	1.0	4.0	2	2	0	other
2023-04-24 18.37.24	Ja	Kvinna	41-50	Kommunikatör	Ja	1.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0	2	2	1	communicator
2023-04-24 19.49.00	Ja	Kvinna	41-50	Kommunikatör	Ja	2.0	2.0	5.0	1.0	5.0	4.0	1.0	5.0	2	2	1	communicator
2023-04-25 20.36.29	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	4.0	3.0	3.0	2.0	5.0	5.0	2.0	5.0	2	2	3	strategic
2023-04-26 12.46.32	Ja	Man	21-30	Kommunikatör	Ja	2.0	4.0	3.0	1.0	5.0	3.0	5.0	5.0	1	1	1	communicator
2023-04-28 12.08.32	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Nej	1.0	3.0	2.0	2.0	4.0	4.0	1.0	4.0	2	2	3	strategic
2023-04-28 12.20.18	Ja	Man	31-40	Content creator	Ja	3.0	3.0	2.0	1.0	3.0	3.0	2.0	4.0	2	1	2	creative
2023-04-28 21.16.22	Ja	Kvinna	31-40	Kommunikatör	Nej	1.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	2	1	1	communicator
2023-04-29 14.47.04	Ja	Kvinna	41-50	PR-konsult	Nej	3.0	4.0	2.0	3.0	5.0	5.0	1.0	5.0	2	2	3	strategic
2023-05-02 17.20.01	Ja	Kvinna	21-30	Chef inom kommunikation eller marknad	Nej	1.0	4.0	3.0	2.0	3.0	3.0	2.0	4.0	1	1	3	strategic
2023-05-02 17.25.10	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Nej	1.0	3.0	4.0	2.0	3.0	5.0	1.0	5.0	2	2	3	strategic
2023-05-02 17.50.42	Ja	Man	21-30	Chef inom kommunikation eller marknad	Nej	1.0	4.0	2.0	2.0	4.0	2.0	3.0	4.0	1	1	3	strategic
2023-05-02 20.56.35	Ja	Man	21-30	Content creator	Ja	4.0	5.0	4.0	2.0	3.0	4.0	1.0	5.0	1	1	2	creative
2023-05-03 07.44.04	Ja	Kvinna	41-50	Kommunikatör	Nej	1.0	4.0	1.0	3.0	5.0	5.0	1.0	5.0	2	2	1	communicator
2023-05-03 13.03.49	Ja	Kvinna	21-30	Content creator	Nej	1.0	3.0	1.0	4.0	4.0	5.0	2.0	4.0	1	1	2	creative
2023-05-03 13.04.17	Ja	Man	31-40	Annat	Ja	5.0	5.0	4.0	4.0	3.0	5.0	5.0	5.0	2	1	0	other
2023-05-03 13.11.26	Ja	Man	21-30	Annat	Ja	3.0	4.0	2.0	3.0	4.0	3.0	4.0	4.0	1	1	0	other
2023-05-03 13.22.17	Ja	Kvinna	21-30	Kommunikatör	Nej	3.0	4.0	3.0	2.0	2.0	4.0	3.0	4.0	1	1	1	communicator
2023-05-03 13.23.50	Ja	Kvinna	21-30	PR-konsult	Ja	2.0	4.0	2.0	3.0	4.0	4.0	5.0	5.0	1	1	3	strategic
2023-05-03 15.19.22	Ja	Man	21-30	Kommunikatör	Ja	3.0	5.0	4.0	1.0	4.0	5.0	5.0	5.0	1	1	1	communicator
2023-05-03 16.49.38	Ja	Kvinna	21-30	Chef inom kommunikation eller marknad	Nej	4.0	5.0	3.0	1.0	4.0	5.0	1.0	5.0	1	1	3	strategic
2023-05-03 17.32.05	Ja	Man	41-50	Chef inom kommunikation eller marknad	Ja	3.0	4.0	3.0	2.0	3.0	4.0	1.0	5.0	2	2	3	strategic
2023-05-03 19.19.30	Ja	Kvinna	31-40	Kommunikatör	Ja	1.0	2.0	3.0	3.0	3.0	5.0	1.0	5.0	2	1	1	communicator
2023-05-03 21.24.02	Ja	Kvinna	21-30	Content creator	Ja	5.0	5.0	4.0	1.0	4.0	5.0	2.0	5.0	1	1	2	creative
2023-05-03 21.48.38	Ja	Kvinna	21-30	PR-konsult	Ja	2.0	5.0	2.0	1.0	5.0	5.0	1.0	5.0	1	1	3	strategic
2023-05-03 23.19.53	Ja	Kvinna	21-30	Kommunikatör	Nej	1.0	3.0	2.0	1.0	4.0	3.0	4.0	4.0	1	1	1	communicator
2023-05-03 23.43.31	Ja	Kvinna	21-30	Kommunikatör	Ja	2.0	3.0	4.0	3.0	4.0	4.0	3.0	5.0	1	1	1	communicator
2023-05-04 06.46.44	Ja	Kvinna	21-30	Annat	Ja	3.0	4.0	2.0	2.0	4.0	5.0	3.0	4.0	1	1	0	other
2023-05-04 08.07.18	Ja	Kvinna	51-60	Chef inom kommunikation eller marknad	Ja	2.0	3.0	3.0	3.0	3.0	4.0	2.0	4.0	2	2	3	strategic
2023-05-04 09.27.47	Nej	Man	21-30	Annat	Ja	3.0	4.0	3.0	2.0	4.0	5.0	2.0	5.0	1	1	0	other
2023-05-04 20.44.53	Ja	Man	51-60	Annat	Nej	1.0	3.0	3.0	4.0	4.0	5.0	1.0	4.0	2	2	0	other
2023-05-06 19.13.44	Ja	Man	31-40	Content creator	Ja	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	2	1	2	creative
2023-05-07 12.07.06	Ja	Kvinna	31-40	Kommunikatör	Ja	2.0	3.0	2.0	3.0	4.0	4.0	2.0	4.0	2	1	1	communicator
2023-05-07 12.20.23	Ja	Kvinna	51-60	Annat	Nej	1.0	1.0	3.0	3.0	3.0	4.0	3.0	5.0	2	2	0	other
2023-05-07 12.25.30	Nej	Man	51-60	Annat	Nej	3.0	4.0	3.0	2.0	4.0	5.0	2.0	5.0	2	2	0	other
2023-05-07 18.34.51	Ja	Kvinna	51-60	Annat	Nej	1.0	4.0	3.0	2.0	4.0	4.0	2.0	4.0	2	2	0	other
2023-05-08 14.47.39	Ja	Kvinna	41-50	PR-konsult	Ja	5.0	5.0	3.0	1.0	5.0	5.0	1.0	5.0	2	2	3	strategic
2023-05-08 15.03.45	Ja	Kvinna	41-50	Kommunikatör	Ja	2.0	4.0	3.0	3.0	4.0	4.0	1.0	5.0	2	2	1	communicator
2023-05-08 15.14.54	Ja	Kvinna	21-30	PR-konsult	Ja	4.0	5.0	4.0	3.0	4.0	5.0	2.0	5.0	1	1	3	strategic
2023-05-08 15.24.37	Ja	Man	31-40	Content creator	Ja	5.0	5.0	3.0	2.0	4.0	5.0	2.0	5.0	2	1	2	creative
2023-05-09 08.37.54	Ja	Man	31-40	Chef inom kommunikation eller marknad	Ja	5.0	5.0	2.0	3.0	4.0	5.0	4.0	5.0	2	1	3	strategic
2023-05-09 10.27.05	Ja	Kvinna	21-30	Kommunikatör	Ja	4.0	5.0	3.0	3.0	3.0	5.0	1.0	5.0	1	1	1	communicator
2023-05-09 10.52.24	Ja	Kvinna	21-30	Kommunikatör	Ja	5.0	4.0	3.0	2.0	4.0	5.0	2.0	5.0	1	1	1	communicator
2023-05-10 14.20.59	Ja	Man	51-60	Kommunikatör	Nej	1.0	1.0	2.0	2.0	4.0	5.0	1.0	4.0	2	2	1	communicator
2023-05-11 17.49.34	Ja	Kvinna	31-40	Copywriter	Ja	5.0	2.0	4.0	3.0	4.0	4.0	3.0	4.0	2	1	2	creative
2023-05-12 12.47.12	Ja	Kvinna	41-50	Copywriter	Ja	3.0	3.0	1.0	4.0	5.0	5.0	4.0	5.0	2	2	2	creative
2023-05-15 09.48.19	Ja	Kvinna	31-40	Annat	Nej	3.0	4.0	2.0	2.0	3.0	4.0	1.0	5.0	2	1	0	other
2023-05-15 14.12.37	Ja	Man	41-50	Chef inom kommunikation eller marknad	Nej	5.0	5.0	2.0	3.0	4.0	5.0	4.0	5.0	2	2	3	strategic
2023-05-15 14.42.41	Ja	Man	21-30	Kommunikatör	Nej	3.0	3.0	3.0	2.0	3.0	5.0	3.0	5.0	1	1	1	communicator
2023-05-16 12.54.14	Ja	Kvinna	21-30	Copywriter	Ja	3.0	5.0	3.0	1.0	4.0	5.0	4.0	5.0	1	1	2	creative
2023-05-16 12.56.02	Ja	Kvinna	21-30	Kommunikatör	Nej	1.0	5.0	3.0	2.0	3.0	4.0	4.0	5.0	1	1	1	communicator
2023-05-16 12.56.19	Ja	Kvinna	21-30	Annat	Ja	4.0	5.0	3.0	2.0	5.0	5.0	4.0	4.0	1	1	0	other
